Country,Income,Life Expectency,Expenses on Health,Deaths Non-Communicable Diseases
Lebanon,"17,330 ",77,48.00,0.29
Botswana,"17,460 ",64,489.00,0.31
Belarus,"17,610 ",73,208.00,0.87
Mauritius,"18,290 ",74,390.00,0.89
Cuba,"18,710 ",78,626.00,0.84
Romania,"19,030 ",75,306.00,0.82
Turkey,"19,040 ",77,289.00,0.73
Panama,"19,630 ",78,29.00,0.44
French Polynesia,"20,099 ",77,128.00,0.41
Uruguay,"20,220 ",77,77.00,0.79
Croatia,"20,560 ",77,951.00,0.92
Antigua and Barbuda,"21,120 ",77,488.00,0.80
Chile,"21,570 ",79,377.00,0.83
Kazakhstan,"21,580 ",70,11.00,0.28
St. Kitts-Nevis,"21,990 ",75,171.00,0.78
Bahamas,"22,310 ",74,701.00,0.74
Equatorial Guinea,"22,480 ",57,5.00,0.40
Latvia,"23,150 ",74,326.00,0.84
Hungary,"23,830 ",76,2575.00,0.88
Malaysia,"23,850 ",75,214.00,0.79
Puerto Rico,"23,960 ",79,1361.00,0.69
Poland,"24,090 ",78,1684.00,0.86
Seychelles,"24,630 ",73,5.00,0.18
Russia,"24,710 ",71,21.00,0.29
Lithuania,"25,390 ",74,6070.00,0.87
Estonia,"25,690 ",77,7.00,0.34
Slovakia,"25,970 ",76,1526.00,0.87
Greece,"26,130 ",81,228.00,0.81
Trinidad and Tobago,"26,220 ",75,429.00,0.72
Czech Republic,"26,970 ",79,5024.00,0.90
Malta,"27,020 ",82,401.00,0.73
Andorra,"27,139 ",83,2105.00,0.91
Portugal,"28,010 ",80,630.00,0.69
Slovenia,"28,650 ",81,68.00,0.60
Cyprus,"29,800 ",80,1110.00,0.90
"Korea, North","32,400 ",70,600.00,0.82
Israel,"32,550 ",82,2573.00,0.92
Spain,"32,860 ",83,376.00,0.65
New Zealand,"33,760 ",81,59.00,0.69
"Korea, South","34,620 ",82,500.00,0.86
Italy,"34,710 ",83,129.00,0.68
Oman,"36,240 ",77,7.00,0.46
Japan,"37,920 ",83,217.00,0.74
Bahrain,"38,140 ",76,761.00,0.79
United Kingdom,"38,370 ",81,440.00,0.87
France,"39,720 ",82,38.00,0.90
Finland,"40,000 ",81,3674.00,0.87
Ireland,"40,820 ",81,1158.00,0.87
Iceland,"42,530 ",82,15.00,0.53
Australia,"42,880 ",82,2711.00,0.90
Belgium,"43,030 ",80,3489.00,0.86
Canada,"43,400 ",81,3009.00,0.89
Austria,"45,040 ",81,3753.00,0.91
Denmark,"46,160 ",81,65.00,0.42
Sweden,"46,710 ",82,22.00,0.90
Germany,"46,840 ",80,28.00,0.39
Netherlands,"47,660 ",81,6500.00,0.81
Saudi Arabia,"53,760 ",74,33.00,0.30
United States,"55,860 ",79,29.00,0.87
"Hong Kong, SAR","56,570 ",84,661.00,0.93
Luxembourg,"57,830 ",82,6300.00,0.75
Switzerland,"59,600 ",83,90.00,0.77
Myanmar,"63,031 ",65,172.00,0.38
United Arab Emirates,"63,750 ",77,3602.00,0.88
Norway,"65,970 ",82,391.00,0.83
Brunei,"71,020 ",79,673.00,0.82
Singapore,"80,270 ",83,923.00,0.90
Kuwait,"87,700 ",74,29.00,0.77
"Macao, SAR","118,460 ",83,209.00,0.95
Qatar,"133,850 ",78,730.00,0.68
